被	LB
下去	VV
看	VV
？	PU
同学	NN
，	PU
够意思	NN
喔	SP
你	PN
啊	SP
，	PU
这	PN
算是	VV
什么	DT
朋友	NN
啊	SP
？	PU
你	PN
看	VV
，	PU
我	PN
跟	P
你	PN
讲了	VV
多少	CD
次	M
谢谢	VV
，	PU
谢谢	VV
回路	NN
藏	VV
在	P
急速	JJ
音律	NN
里	LC
他们	PN
都	AD
是	VC
最	AD
出名	VA
的	DEC
爸	NN
，	PU
你	PN
可不可以	VV
不	AD
要	VV
吵	VV
啊	SP
？	PU
我	PN
不	AD
知道	VV
我	PN
应该	VV
说	VV
什么	PN
，	PU
对不起	VV
我	PN
不	AD
是	VC
告诉	VV
过	AS
你	PN
了	SP
吗	SP
？	PU
差不多	AD
了吧	VV
为难	VV
？	PU
你	PN
白痴	NN
喔	SP
？	PU
你们	PN
学校	NN
真的	AD
很	AD
不错	VA
我们	PN
看看	VV
有	VE
哪位	PN
同学	NN
知道	VV
答案	NN
的	SP
你	PN
不	AD
要	VV
吓	VV
我	PN
你	PN
要	VV
不	AD
要	VV
去	VV
外面	NN
等著	AD
吃	VV
就	AD
好了	VV
？	PU
不然	AD
找	VV
小雨	NN
去	VV
表演	VV
就	AD
好啦	VA
！	PU
你	PN
追	VV
得到	VV
我	PN
，	PU
我	PN
就	AD
跟	P
你	PN
讲	VV
持	VV
热闹	NN
也	AD
不错	VA
女生	NN
喜欢	VV
嘛	SP
学妹们	NN
，	PU
知道	VV
我	PN
是	VC
谁	PN
吧	SP
那	AD
你	PN
给	P
晴	VA
依	P
吃	VV
嘛	SP
那	AD
M	NN
值	VV
应该	VV
有	VE
两个	CD
对啊	NN
可是	AD
我	PN
怕	VV
小雨	NN
不	AD
相信	VV
老师	NN
雨	NN
豪	VA
即兴	JJ
功力	NN
，	PU
果然	AD
厉害	VA
！	PU
连	AD
萧邦	VV
自己	PN
都	AD
不	AD
知道	VV
有	VE
这	DT
一	CD
段	M
你们	PN
在	AD
干吗	VV
？	PU
少	AD
来	VV
！	PU
小雨	NN
的	DEG
这	DT
件	M
事	NN
，	PU
我们	PN
已经	AD
关注	VV
很	AD
久了	VA
别	AD
再	AD
弹	VV
了	SP
，	PU
老爸	NN
都	AD
快	AD
哭了	VA
这	DT
栋	M
琴房	NN
已经	AD
有	VE
一百	CD
年	M
的	DEG
历史	NN
了	SP
什么	DT
老	NN
？	PU
什么	PN
！	PU
叶湘伦	NR
，	PU
你	PN
也	AD
过来	VV
！	PU
再见	VV
那	AD
妈妈	NN
二十	CD
年	M
后	LC
怎么样	AD
呢	SP
？	PU
那	AD
这里	PN
，	PU
因为	P
这	PN
是	VC
立体	JJ
的	DEG
嘛	SP
晴	VA
依	P
？	PU
你	PN
为什么	AD
不	AD
把	BA
衣服	NN
塞	VV
进去	VV
？	PU
不好意思	AD
，	PU
请	VV
问	VV
一下	AD
？	PU
好	VA
漂亮	VA
喔	SP
我	PN
回去	VV
都	AD
弹	VV
那么	AD
快	VA
啊	SP
好	VA
，	PU
然后	AD
慢慢	VA
的	DEV
开始	VV
凹陷	VV
进去	VV
好了	AD
，	PU
不要	AD
闹了	VV
，	PU
不要	AD
闹了	VV
没有	VE
啊	SP
，	PU
和	CC
阿郎阿宝	NR
他们	PN
出去	VV
为什么	AD
呢	SP
？	PU
叶湘伦	NR
这个	PN
从	P
这个	DT
地方	NN
凹陷	VV
进去	VV
没有	VE
啊	SP
这	DT
两	CD
层	M
楼	NN
全	AD
是	VC
琴房	NN
跟	CC
演奏室	NN
你	PN
就	AD
把	BA
他	PN
忘了	VV
你	PN
这样	AD
会	VV
害我	VV
被	SB
老板	NN
骂	VV
死	VV
啦	SP
来	VV
一	CD
个	M
甜甜	VA
的	DEC
表情	NN
叶湘伦	NR
！	PU
你	PN
今天	NT
早上	NT
为什么	AD
没来	VV
上课	VV
？	PU
好啊	VA
，	PU
拜	VV
因为	P
旧琴弹	NR
起来	VV
不	AD
好听	VA
啊	SP
但	AD
也	AD
不	AD
是	VC
每	DT
一	CD
次	M
都	AD
这么	AD
顺利	VA
大勇	NN
以为	VV
小雨	NN
要	VV
弹回	VV
去了	VV
快来	VV
你	PN
讨厌	VV
每	DT
日	M
一	CD
颗	M
苹果	NN
就	AD
可	VV
远离	VV
病厄	NN
做	VV
兄弟	NN
的	DEC
没有	AD
照顾	VV
你	PN
！	PU
我	PN
还是	AD
问	VV
别人	PN
好了	VA
好	VA
，	PU
接下来	AD
第二	OD
题	NN
你	PN
第一	OD
次	M
看到	VV
我	PN
的	DEG
时候	NN
我	PN
弹	VV
的	DEC
曲子	NN
？	PU
还有	AD
…	PU
此	DT
题	NN
要求	VV
写出	VV
其	PN
E调	NN
乐谱	NN
…	PU
那	AD
老师	NN
可以	VV
帮我	VV
保守	VV
这个	DT
秘密	NN
吗	SP
？	PU
晴	VA
依	P
你们	PN
家有	VV
几	CD
个	M
人	NN
啊	SP
？	PU
领带	NN
是	VC
这样	AD
打的	VV
嘛	SP
？	PU
一下	AD
就	AD
到	VV
我家了	NN
一二三四五六七八	CD
教练	NN
那个	PN
笨蛋	NN
她	PN
还	AD
有	VE
见到	VV
那	DT
男生	NN
吗	SP
？	PU
你们	PN
真是	AD
太	AD
有	VE
耳福	NN
了	SP
可以	VV
来	VV
找	VV
老师	NN
，	PU
老师	NN
可以	VV
帮你	VV
怎么	AD
突然	AD
下雨	VV
啊	SP
？	PU
好啊	VA
这个	DT
事情	NN
你	PN
千万	AD
不	AD
要	VV
随便	AD
跟	P
其他	DT
人	NN
讲起	VV
这里	PN
像是	VV
一	CD
个	M
吃饭	VV
的	DEC
地方	NN
吗	SP
？	PU
走啦	VV
怎样	PN
？	PU
我们	PN
音乐班	NN
的	DEG
学生	NN
都	AD
还	AD
蛮	AD
努力	VV
的	SP
可是	AD
我	PN
是	VC
想	VV
你的	VV
而且	AD
大为	AD
轰动	VV
看	VV
你	PN
昨天	NT
琴弹	VV
的	DEC
还	AD
不错	VA
那	AD
你	PN
爸	NN
是	VC
做	VV
什么	PN
的	DEG
啊	SP
？	PU
改天	VV
再	AD
还给	VV
你	PN
那个	PN
琴谱	VV
这个	PN
很	AD
难找	VA
，	PU
为什么	AD
给他	VV
？	PU
走啰	NN
，	PU
拜拜	NN
我	PN
跟	P
阿宝	NN
要	VV
组	VV
个	M
BAND	NN
那	AD
过	VV
与	P
之	PN
圆	NN
外	LC
一点	CD
的	DEG
切线	NN
的	DEG
问题	NN
蹲下	VV
！	PU
萧邦	NR
圆舞曲	NN
，	PU
会	VV
不	AD
会	VV
太	AD
简单	VA
了	SP
？	PU
家里	NN
的	DEG
锁	NN
换了	NN
，	PU
我	PN
都	AD
进	VV
不去	NN
为什么	AD
？	PU
看来	AD
今天	NT
，	PU
有	VE
好戏	NN
可	VV
看了	VV
走啰	NN
，	PU
拜拜	NN
拜	VV
饿死	VV
我	PN
了	SP
！	PU
晴	VA
依	P
来	VV
了	AS
会吗	NN
？	PU
很	AD
好	VA
，	PU
坐在	VV
这边	PN
的	DEC
是	VC
雨	NN
豪	VA
学长	NN
我	PN
去	VV
练	VV
琴啊	NN
我	PN
以前	NT
就	AD
听说	VV
过	AS
你	PN
了	SP
让开	VV
一点	CD
真的	AD
喔	SP
？	PU
女的	NN
？	PU
你	PN
看	VV
这边	PN
好啦	VA
！	PU
傻子	NN
这么	AD
简单	VA
的	SP
，	PU
拜拜	NN
拜拜	NN
所以	AD
啊	IJ
，	PU
我	PN
不	AD
能	VV
跟	P
男生	NN
接吻	VV
不行	VV
，	PU
十五	CD
天	M
十五	CD
个	M
苹果	NN
老师	NN
，	PU
我	PN
去	VV
那边	PN
扫	VV
为什么	AD
称	VV
他	PN
为	VC
天才型	JJ
的	DEG
音乐家	NN
呢	SP
来	VV
混合	VV
跟	P
创造	VV
不同	VA
的	DEC
感觉	NN
她	PN
遇上	VV
一	CD
个	M
跟	P
她	PN
一样	AD
喜欢	VV
这	DT
首	M
歌	NN
的	DEC
人	NN
会	VV
带来	VV
好运	NN
喔	SP
你	PN
很	AD
爱	VV
学人	NN
没错	VV
，	PU
因为	P
呢	SP
可是	AD
事情	NN
的	DEG
结果	NN
啊	SP
我	PN
能	VV
遇见	VV
你	PN
已经	AD
是	VC
很	AD
不可思议	VV
了	SP
不	AD
能	VV
说的	VV
秘密	NN
你	PN
很	AD
奇怪	VA
好	VA
，	PU
看	VV
这边	PN
喔	SP
，	PU
一	CD
，	PU
二	CD
，	PU
三	CD
，	PU
笑	VV
！	PU
谁	PN
说	VV
的	SP
，	PU
我	PN
刚	AD
在	P
琴房	NN
练琴	NN
干嘛	VV
？	PU
古典乐	NN
的话	SP
，	PU
有	VE
莫札特	NR
，	PU
贝多芬	NR
你	PN
叫	VV
什么	DT
名字	NN
啊	SP
？	PU
有一点	AD
超	VV
快	VA
该	DT
不	AD
会	VV
就是	AD
为了	P
送	VV
我	PN
这个	DT
吧	SP
？	PU
你	PN
问	VV
这个	PN
干吗	VV
？	PU
你	PN
应该	VV
也	AD
蛮	AD
努力	VV
的	SP
吧	SP
？	PU
是	VC
啊	SP
大勇	NN
，	PU
你	PN
还	AD
想听	VV
什么	PN
？	PU
为什么	AD
每	DT
一	CD
天	M
都	AD
要	VV
我	PN
回来	VV
我	PN
…	PU
你	PN
好像	AD
很	AD
喜欢	VV
一	CD
只	M
手	NN
弹琴	VV
喔	SP
？	PU
秘密	VA
好	VA
，	PU
拜	VV
我	PN
能	VV
遇见	VV
你	PN
已经	AD
是	VC
很	AD
不可思议	VV
了	SP
不好意思	VV
！	PU
一共	AD
一百零八	CD
步	M
请	VV
举手	VV
，	PU
来	VV
，	PU
黄	JJ
同学	NN
你	PN
不要	AD
交	VV
这样	JJ
的	DEG
朋友	NN
！	PU
叶湘伦	NR
，	PU
你	PN
等	VV
下	AD
要	VV
不	AD
要	VV
打球	VV
？	PU
当然	AD
可以	VV
然后	AD
以后	AD
这个	DT
连起	VV
来	VV
了	SP
你	PN
不	AD
知道	VV
喔	SP
？	PU
就	AD
这样	AD
一言为定	VV
啰	VV
！	PU
小雨	NN
生气了	VV
你	PN
昨天	NT
有	VE
去	MSP
喔	SP
？	PU
可惜	AD
今年	NT
毕业	VV
我们	PN
就	AD
用不	AD
到了	P
我	PN
讲话	VV
你	PN
可不可以	AD
认真	AD
听	VV
啊	SP
？	PU
好吧	VA
，	PU
你	PN
琴弹	VV
的	DER
不错	VA
喔	SP
？	PU
欢迎	VV
来到	VV
淡江	NR
艺术	NN
学校	NN
第八十四	OD
届	M
的	SP
不	AD
能	VV
牵	VV
男生	NN
的	DEC
手	NN
回来	VV
啦	SP
，	PU
马上	AD
就	AD
可以	VV
吃饭	VV
啰	NN
霜淇淋	NR
干杯	VV
现在	NT
还	AD
流行	VV
这个	DT
喔	SP
？	PU
男子汉	NN
不	AD
玩	VV
娘娘腔	NN
的	DEC
游戏	NN
男子汉	NN
就	AD
是	VC
我	PN
跟	P
谁	PN
学	VV
？	PU
干嘛	VV
？	PU
你	PN
做	VV
事情	NN
要	VV
专心	VV
一点	CD
很	AD
厉害	VA
嘛	SP
！	PU
有	VE
没	AD
有	VE
看到	VV
两	CD
个	M
学生	NN
跑	VV
进来	VV
？	PU
答案	NN
是	VC
A	NN
，	PU
是	VC
A	NN
大调	NN
的	DEG
属音	NN
减肥	VV
啊	SP
你	PN
？	PU
你	PN
最近	NT
很	AD
忙	VA
啊	SP
？	PU
就	AD
舞会	NN
跟我	VV
跳舞	VV
的	DEC
那个	PN
啊	SP
你	PN
今天	NT
可以	VV
送	VV
我	PN
回家	VV
吗	SP
？	PU
小雨	NN
，	PU
小雨	NN
什么	DT
时候	NN
啊	SP
？	PU
我	PN
还是	AD
一样	AD
弹	VV
的	DEC
很	AD
顺利	VA
帮我	NN
拿	VV
一下	AD
嘛	SP
好	VA
，	PU
拜拜	NN
八	CD
根	M
烟	NN
，	PU
跑	VV
！	PU
可以	VV
吗	SP
？	PU
有	VE
一	CD
位	M
天才型	JJ
的	DEG
音乐家	NN
二二三四五六	NT
交换	VV
就	AD
我	PN
跟	CC
我爸	NN
我	PN
去	VV
煮饭	VV
他	PN
就是	AD
我	PN
跟	P
你	PN
说	VV
过	AS
的	DEC
那个	DT
男生	NN
啊	SP
拜拜	NN
你	PN
以为	VV
自己	PN
是	VC
歌星	NN
啊	SP
？	PU
老师	NN
你	PN
觉得	VV
有	VE
两	CD
个	M
人	NN
吧	SP
婆婆	NN
好啊	VA
没事	VV
啦	SP
对不起	VV
，	PU
我	PN
迟到	VV
了	AS
看来	AD
，	PU
要	VV
再	AD
出	VV
难	VA
一点	AD
了	SP
！	PU
我们	PN
家	NN
快到了	NN
不要	AD
交	VV
这样	JJ
的	DEG
朋友	NN
，	PU
知道	VV
吗	SP
？	PU
今天	NT
不	AD
做饭	VV
啊	SP
？	PU
不是	CC
，	PU
是	VC
他	PN
没	VE
眼光	NN
，	PU
对	VA
！	PU
我	PN
不	AD
在	VV
你	PN
弹	VV
的	DEC
挺	AD
不错	VA
的	SP
喔	SP
？	PU
你们	PN
这些	DT
学生	NN
，	PU
真的	AD
是	VC
…	PU
你	PN
可以	VV
帮我	VV
保管	VV
这个	DT
琴谱吗	NN
？	PU
只不过	AD
我们	PN
相差	VV
二十年	NT
你	PN
多久	AD
没听	VV
音乐	NN
了	SP
？	PU
吃饱了	NR
鲍鱼	NN
？	PU
就	AD
当	P
我	PN
没	AD
看到	VV
表示	VV
说	VV
…	PU
这里	PN
没有	VE
别人	NN
啊	SP
对	VA
好	VA
想	VV
你	PN
的	DEG
音乐	NN
一起	AD
来	VV
啊	SP
！	PU
102	CD
，	PU
103	CD
，	PU
104	CD
，	PU
105	CD
跟	P
我们	PN
在一起	AD
要	VV
习惯	VV
你	PN
不	AD
要	VV
骑	VV
那么	AD
快	VA
啦	SP
那	AD
你	PN
喜欢	VV
我	PN
吗	SP
？	PU
差一点	AD
就	AD
被	LB
你	PN
抱	VV
到了	P
我	PN
是	VC
担心	VV
你	PN
，	PU
你	PN
知道	VV
吗	SP
？	PU
好	VA
一点	AD
了	SP
，	PU
谢谢	VV
老师	NN
来	MSP
看	VV
她	PN
紧张	VA
吗	SP
？	PU
那	AD
你	PN
呢	SP
？	PU
你	PN
要	VV
吃	VV
什么	PN
？	PU
没有	VE
半	CD
蹲	VV
（	PU
你	PN
在哪	VV
？	PU
）	PU
可是	AD
好	JJ
不像喔	NN
我	PN
也	AD
不	AD
知道	VV
有	VE
什么	PN
不	AD
开心	VV
告诉	VV
我	PN
啊	SP
小雨	NN
，	PU
你	PN
真的	AD
不	AD
上课	VV
啊	SP
？	PU
这	PN
是	VC
我	PN
最	AD
喜欢	VV
的	DEC
一	CD
首	M
曲子	NN
老师	NN
我	PN
也	AD
要	VV
！	PU
好吧	VA
！	PU
一	CD
，	PU
二	CD
，	PU
三	CD
，	PU
四	CD
，	PU
五	CD
喂	IJ
，	PU
这边	PN
先来	AD
！	PU
一二三四五六七八	CD
我	PN
只有	AD
你	PN
一	CD
个	M
儿子	NN
有	VE
啊	SP
，	PU
我	PN
只是	AD
不	AD
想	VV
让	VV
你	PN
分心	VV
而已	SP
小雨	NN
，	PU
今天	NT
是	VC
毕业	NN
典礼	NN
嗯	IJ
，	PU
音乐	NN
班	NN
的	SP
你们	PN
钢琴	NN
好像	AD
很	AD
出名	VV
喔	SP
真的	VA
吗	SP
？	PU
叶湘伦	NR
，	PU
你	PN
在	AD
看	VV
什么	PN
？	PU
吃	VV
，	PU
跳舞	VV
呀	SP
，	PU
跳舞	VV
对	P
气管	NN
好	VA
我	PN
朋友	NN
男子汉	NN
像	P
狼	NN
一样	VA
的	DEC
孤寂	NN
她	PN
不舒服	JJ
在	P
睡觉	NN
！	PU
这	PN
是	VC
我们	PN
最后	JJ
一	CD
次	M
的	DEG
合照	NN
你	PN
有	VE
秘密	JJ
我	PN
就	AD
不	AD
能	VV
有	VE
秘密	NN
喔	SP
？	PU
就	AD
产生	VV
两	CD
个	M
孔	NN
这边	PN
这个	DT
孔	NN
，	PU
就是	AD
你	PN
的	DEG
嘴巴	NN
无聊	VA
就	AD
不	AD
要	VV
聊啊	VV
谢谢	VV
，	PU
最近	NT
过	VV
的	DEC
不错吧	NN
？	PU
不	AD
听	VV
音乐	NN
就	AD
是	VC
坏人	NN
喔	SP
？	PU
不好意思	AD
，	PU
刚刚	AD
是	VC
你	PN
弹	VV
的	SP
吗	SP
？	PU
你	PN
会	VV
在	P
餐厅	NN
里面	NN
跑步	VV
吗	SP
？	PU
这里	PN
就	AD
要	VV
拆掉了	NN
怎么样	VA
？	PU
吃	VV
什么	PN
对	P
气管好	NN
？	PU
搞	VV
什么	PN
？	PU
来	VV
，	PU
大婶	NN
已经	AD
给	P
你	PN
准备	VV
好了	VV
没有	VE
那	DT
…	PU
（	PU
路	NN
小雨	NN
）	PU
来	VV
！	PU
你们	PN
学	VV
运动	NN
的	DEC
啊	SP
，	PU
有	VE
听	VV
过	AS
气喘	NN
吗	SP
？	PU
他们	PN
是	VC
坏	JJ
朋友	NN
确定	VV
里面	NN
没	VE
人	NN
啰	VV
？	PU
音乐	NN
有	VE
很多	CD
不同	JJ
的	DEG
形式	NN
长的	NN
这么	AD
漂亮	VA
跟	P
我	PN
在一起	AD
不	AD
就	AD
好了	VV
？	PU
好了	VA
！	PU
找	VV
不	AD
到	VV
人	NN
，	PU
好	JJ
呆喔	NN
你	PN
一定	AD
要	VV
弹	VV
这么	AD
快	VA
吗	SP
？	PU
你	PN
看看	VV
你	PN
有	VE
多	AD
久	AD
没来	VV
上课	VV
了	SP
？	PU
没有	VE
啦	SP
，	PU
开玩笑	VV
的	DEC
，	PU
拜拜	NN
是	VC
啊	SP
不行喔	NR
最近	NT
还好	AD
无聊	VA
怎么	AD
啦	SP
？	PU
十五	CD
天	M
十五	CD
个	M
苹果	NN
看一下	VV
，	PU
是	VC
谁	PN
来	VV
啦	SP
？	PU
没	AD
看	VV
过	AS
你	PN
，	PU
新来	JJ
的	DEG
喔	SP
是啊	NN
！	PU
小雨	NN
男子汉	NN
暖呼呼	NR
的	DEG
真心	NN
拜	VV
巴哈	NR
，	PU
还有	CC
韦瓦第	NR
我	PN
找	VV
路	NN
小雨	NN
干吗	VV
？	PU
你	PN
又	AD
知道	VV
啰	NN
？	PU
我	PN
说话	VV
算话	NN
，	PU
这本	AD
你	PN
拿去	VV
吧	SP
一二三	CD
，	PU
PUSH	NN
！	PU
还	AD
不	AD
是	VC
因为	P
我	PN
功课	NN
好	VA
，	PU
老师	NN
喜欢	VV
我	PN
去哪	NN
？	PU
（	PU
回路	NN
藏	VV
在	P
急速	JJ
音律	NN
里	LC
）	PU
你	PN
一定	AD
要	VV
弹	VV
这么	AD
快	VA
吗	SP
？	PU
婆婆	NN
好多	CD
苹果	NN
喔	SP
怎么样	VA
？	PU
不好意思	AD
，	PU
请	VV
问	VV
一下	AD
男朋友	NN
送	VV
的	SP
吗	SP
？	PU
我	PN
都	AD
没	AD
吃过	VV
怎么	AD
关掉	VV
了	SP
？	PU
至于	P
为什么	AD
被	SB
称为	VV
钢琴	NN
诗人	NN
（	PU
我	PN
爱	VV
你	PN
）	PU
大勇	NN
我	PN
只有	AD
你	PN
一	CD
个	M
儿子	NN
，	PU
我	PN
担心	VV
你	PN
啊	SP
因为	P
这里	PN
有	VE
很多	CD
回忆	NN
但是	AD
能够	VV
拥有	VV
，	PU
十	CD
年	M
已经	AD
很	AD
长	VA
了	SP
骑	VV
脚踏车	NN
，	PU
送	VV
我	PN
回家	VV
那	AD
，	PU
如果	CS
你	PN
有	VE
骑	VV
车	NN
你	PN
会	VV
载	VV
我	PN
吗	SP
？	PU
为了	P
这个	PN
卤蛋	NN
你	PN
怎么	AD
知道	VV
顺路	AD
啊	SP
？	PU
好啦	VA
还	AD
不	AD
是	VC
有	VE
神经病	NN
，	PU
真	AD
可惜	AD
啊	SP
你	PN
这样	AD
跟	P
老爸	NN
讲话	VV
的	SP
！	PU
那	AD
就	AD
告诉	VV
我	PN
你	PN
为什么	AD
那么	AD
神秘	VA
啊	SP
？	PU
他	PN
是	VC
我	PN
第一	OD
眼	NN
看到	VV
的	DEC
人	NN
我	PN
不	AD
是	VC
告诉	VV
过	AS
你	PN
了	SP
吗	SP
？	PU
不要跑	AD
！	PU
这	PN
是	VC
一	CD
个	M
不	AD
能	VV
说的	VV
秘密	NN
珍惜	NN
和	P
你	PN
在一起	VV
的	DEC
时候	NN
啊	SP
一二三四五六七八	CD
晴依	VV
，	PU
你	PN
有	VE
听到	VV
吗	SP
？	PU
如果	CS
有	VE
心事	NN
，	PU
可以	VV
告诉	VV
我	PN
啊	SP
今天	NT
好像	AD
有	VE
人	NN
没	VE
上课	NN
喔	SP
走啰	NN
，	PU
走啰	NN
是	VC
！	PU
婆婆	NN
走吧	VV
很	AD
饿喔	VV
？	PU
怎么	AD
只有	CS
你	PN
一	CD
个	M
人	NN
？	PU
如果	CS
我	PN
迷路	VV
的话	SP
再	AD
大声	AD
跟你	VV
求救啰	VV
我	PN
叫	VV
路	NN
小雨	NN
可是	AD
，	PU
运动	NN
伤害	NN
的	DEG
一	CD
种	M
？	PU
这	PN
有	VE
什么	DT
好	JJ
秘密	NN
的	SP
？	PU
等等	ETC
琴房	NN
见	VV
对不起	VV
，	PU
我	PN
迟到	VV
了	AS
我	PN
帮你	VV
剪	VV
！	PU
你	PN
知道	VV
这里	PN
快	AD
拆了	VV
？	PU
喔	IJ
，	PU
谢谢	VV
（	PU
叶湘伦	NR
）	PU
怎么	AD
会	VV
，	PU
我	PN
觉得	VV
你	PN
很	AD
特别	VA
啊	SP
叶湘伦	NR
谁	PN
说	VV
的	SP
？	PU
有	VE
